"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G56250",526.043882013941,12.5923897030829,1.25446345664153,10.0380681768088,1.03684806536127e-23,6.69803850223384e-22
"AT1G72450",546.614012602481,2.70694589830597,0.321285246485214,8.42536633075852,3.59623319918514e-17,1.451979154171e-15
"AT1G52200",170.059603640455,5.32029424532719,0.704153352700954,7.55559030560585,4.16964400331131e-14,1.2826619172091e-12
"AT1G33250",144.135760144545,1.56946484609214,0.469141450637055,3.34539794759328,0.000821645896807159,0.00576242369606372
"AT1G53625",379.878533879719,8.58678524190008,0.766702172540957,11.1996359856948,4.09412282304635e-29,3.50047501370463e-27
"AT1G80840",2409.61998935998,7.04360074524236,0.261014604341691,26.985466054695,2.18904957946322e-160,4.24237808499972e-157
"AT1G26440",119.939954353104,2.7648891809298,0.710030511435654,3.89404277196384,9.85872548430228e-05,0.000917098079451735
"AT1G72330",1029.18678453023,5.44834135465954,0.354033870574306,15.3893223431458,1.93043395629872e-53,4.31674731612337e-51
"AT1G05670",275.681671953599,3.7149357760823,0.44518807393026,8.3446435195033,7.14290141415476e-17,2.78716971959032e-15
"AT1G77230",100.836758521134,2.03787198690921,0.62644107179613,3.25309447074762,0.00114155538017741,0.00765445878525535
"AT1G52400",132.766397070298,2.66929795344327,0.595256037407746,4.48428539266511,7.31586932620883e-06,8.97351566721058e-05
"AT1G14880",114.780350111403,6.60739692958036,1.31066602931588,5.04125138043685,4.62497443962493e-07,6.82477192689831e-06
"AT1G65820",516.312206918545,2.48619000961656,0.432332803662602,5.75063929582548,8.8906617136648e-09,1.60031910845966e-07
"AT1G35210",715.540052688093,4.9737327813103,1.74925551963193,2.84334262518539,0.0044643050339647,0.0243028740332123
"AT1G10410",406.875348771361,1.37199667786474,0.413972507699023,3.31422172329919,0.000918986032220309,0.00628586446038691
"AT1G61730",660.825289514539,1.21034441705096,0.34608599888967,3.49723600762251,0.00047010573842402,0.00359804791966214
"AT1G44130",30.0598996826957,8.46076397764994,1.70574128316794,4.96016838024605,7.04321022699433e-07,1.00053916781793e-05
"AT1G08630",89.5856254308741,3.80855852683346,1.01774103002064,3.74216860133487,0.000182439040777951,0.00158077583171834
"AT1G17147",109.738025327206,6.18556911897698,0.924244980936048,6.69256446782368,2.19293085499839e-11,5.26847107064489e-10
"AT1G29150",489.420963416071,1.0322833241849,0.283126287187699,3.64601724000479,0.000266336115402113,0.00223768522391313
"AT1G37130",2492.62648248004,1.17332533565814,0.242434817058551,4.83975589766368,1.29998703317839e-06,1.77838226138803e-05
"AT1G17500",423.014205504523,1.12382991584879,0.299497592194703,3.75238380921002,0.000175161021628939,0.00152453020920756
"AT1G25400",374.429048841872,5.31009902758042,1.19347203247814,4.44928652123877,8.6156017172228e-06,0.000103494025586639
"AT1G70700",651.562852672395,1.30168131566876,0.32997304393393,3.944811067444,7.98629206441428e-05,0.000759939477291402
"AT1G22180",299.533483035016,4.75774535713618,0.520266298530871,9.14482712136288,5.97253142585991e-20,3.07294669999554e-18
"AT1G79670",241.874625225472,2.75005606056782,0.45537423401131,6.03911213057241,1.54964533866577e-09,3.03354814781239e-08
"AT1G77810",122.452913651045,2.48673260623591,0.74358420853795,3.34425150195884,0.000825049057679231,0.0057723648873009
"AT1G16210",574.302397123459,1.32174978745312,0.297297197756322,4.44588713727632,8.75298959828396e-06,0.000104496676641526
"AT1G71140",63.1562280910074,6.98645922794797,1.42493187059314,4.90301281916011,9.43778227317818e-07,1.31270971617842e-05
"AT1G56110",1390.82549954476,1.4560685868727,0.200900775819589,7.24770016906389,4.23907707148433e-13,1.19062773399082e-11
"AT1G02220",59.7929065914313,5.27069402555904,1.03093089335271,5.11255803812234,3.17825292626773e-07,4.78714054749239e-06
"AT1G16420",66.0840165341955,7.77409498990422,1.29880102164317,5.98559352845969,2.15602185848428e-09,4.14967136489537e-08
"AT1G05060",196.367686006505,2.35036621765514,0.419041498351595,5.60891039885284,2.03604394472318e-08,3.48163514547663e-07
"AT1G75510",357.694459293291,1.79294536015305,0.415828122979575,4.31174627465281,1.61970235040166e-05,0.000185373020969198
"AT1G54090",279.318889516155,1.41932021068658,0.425249020256953,3.33762135378694,0.000844988136860339,0.0058765084063469
"AT1G01740",70.7369625752152,2.29154112224313,0.772822728967068,2.96515751459062,0.00302527987550931,0.0176419029049259
"AT1G01260",446.281772103393,3.9322635080275,0.331132345330286,11.8752020558586,1.59248816475469e-32,1.5963321017041e-30
"AT1G04810",626.65136862485,1.29187654492502,0.325714367412825,3.96628664306859,7.30010625991675e-05,0.000706878679047237
"AT1G51920",39.004434466918,8.83722019946239,1.60749381540456,5.49751427643181,3.85182139815235e-08,6.41675920024578e-07
"AT1G09640",1752.46486509692,1.09324712269366,0.256494174672568,4.26226881795372,2.02361804107589e-05,0.00022452891776365
"AT1G21590",822.97918644504,1.39800495251065,0.230590730853702,6.06271096559218,1.33846070750398e-09,2.62899005183384e-08
"AT1G64140",861.865938396175,1.91706043000565,0.290247742341717,6.60491073776773,3.97756932203193e-11,9.2873847543348e-10
"AT1G79340",629.108866211942,1.25700932427554,0.275895956257627,4.5560991227496,5.21123516583428e-06,6.52976751167252e-05
"AT1G57680",664.115800980354,1.05906416289241,0.293989339443565,3.60238968153373,0.000315305225128029,0.00258195011111882
"AT1G67310",353.634686189898,1.13133075195151,0.39453321684555,2.86751711553454,0.00413706426681238,0.0229512324878313
"AT1G07220",166.499569104912,1.86813293291917,0.562678782502123,3.32006997778012,0.000899948867194381,0.00617745302699897
"AT1G56240",55.7075116972661,9.35232918917921,1.51084697726944,6.19012337442784,6.01171428787192e-10,1.25276368708557e-08
"AT1G19025",38.1071946797312,3.86673646933966,1.33603180593319,2.89419492273152,0.00380132102951138,0.0213535076962117
"AT1G15440",397.188632482708,1.74821740667304,0.411315710956294,4.2503054468999,2.13479194441272e-05,0.000233741626456036
"AT1G18850",165.343177885828,2.59701687510984,0.489811848529518,5.30207034171681,1.14496704636847e-07,1.80402124866837e-06
"AT1G80810",889.454086622388,3.61939218787402,0.296240959270797,12.2177304474818,2.49965937129248e-34,2.74207916692348e-32
"AT1G30190",52.1553733406434,7.55803937196334,1.38402415522387,5.46091579647381,4.73684691241787e-08,7.84616180877422e-07
"AT1G71520",104.923509762963,8.4634702604653,1.1794735617449,7.17563371911832,7.1973010859326e-13,1.95537890250524e-11
"AT1G18390",116.583100151301,5.20764218601639,0.813681264752459,6.40010088913707,1.55274317156526e-10,3.39980406113288e-09
"AT1G28190",870.188569174067,5.94766735476842,0.4105164667701,14.4882552496957,1.43747928173625e-47,2.38785844114701e-45
"AT1G12880",553.737044160928,1.96497316862462,0.361847466019168,5.43039085016152,5.62307627937285e-08,9.15758136926436e-07
"AT1G23850",275.626913669835,6.32370562391212,2.03155099933107,3.11274766225132,0.00185354422831411,0.0116126143786835
"AT1G05350",233.102798923088,1.44247020379435,0.554655494847228,2.6006597197629,0.00930446950393337,0.0442598852973344
"AT1G71150",21.1574568484775,7.94987959833506,2.513275959732,3.16315427581728,0.00156069600792916,0.01003748516604
"AT1G57560",131.808258657548,10.5941126998045,1.31044030448857,8.08439168386165,6.24752436267174e-16,2.21482357588863e-14
"AT1G48040",194.749180745223,1.99994148466917,0.641616729149983,3.11703450643923,0.00182680188508392,0.0114574176481962
"AT1G11330",619.640256111653,2.82883502605159,0.37138341036782,7.61702043516133,2.59598250056689e-14,8.07114559267159e-13
"AT1G62422",228.696865174739,3.13056596708495,0.536124414827843,5.83925275645247,5.24354682685416e-09,9.70891122653825e-08
