"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004364","glutathione transferase activity","14/1218","57/26506",0.245614035087719,5.34502923976608,7.20702137162648,2.09410630594189e-07,0.000119573470069282,0.000110216121365363,"842893/837491/843329/839515/844167/843799/844174/839295/838289/838288/839602/843328/842147/836368",14
"GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","20/1218","156/26506",0.128205128205128,2.78998778998779,4.92098866816971,3.31087621623642e-05,0.00945255159735499,0.00871283214799059,"842893/837491/837444/843329/839515/838993/838847/844167/843799/844174/839295/844187/838203/838289/838288/839602/843328/842147/842354/836368",20
"GO:0005516","calmodulin binding","20/1218","170/26506",0.117647058823529,2.56022408963585,4.47885332235112,0.000112231207258138,0.0213613397814655,0.0196896854838838,"837675/840330/842434/842449/843936/842430/843073/842437/842457/838394/838470/842431/839670/842908/842432/843813/832750/831123/833498/836377",20
"GO:0030246","carbohydrate binding","19/1218","163/26506",0.116564417177914,2.5366637452527,4.31887205372495,0.000186053274245928,0.0265591048986062,0.0244806939797273,"842078/842077/838420/843309/838037/838723/844351/838719/838721/837455/838184/843006/839125/844307/837577/842747/842785/837095/842851",19
"GO:0016168","chlorophyll binding","6/1218","21/26506",0.285714285714286,6.21768707482993,5.24950066346443,0.000278146694812928,0.0317643525476363,0.0292785994539924,"838151/839871/842446/839869/839870/841033",6
"GO:0030247","polysaccharide binding","13/1218","95/26506",0.136842105263158,2.97794486215539,4.23851640040259,0.000401604553672094,0.0382193666911276,0.0352284696203591,"838420/843309/838037/838723/838719/838721/837455/838184/843006/839125/844307/837577/837095",13
"GO:0005509","calcium ion binding","20/1218","192/26506",0.104166666666667,2.26686507936508,3.86649854729211,0.000567528180079713,0.0414210775535904,0.0381796272039731,"837441/842958/843309/840476/842865/838723/838719/838721/837365/841671/838184/837108/843950/838756/838401/839974/844307/843404/843998/831326",20
"GO:0010329","auxin efflux transmembrane transporter activity","5/1218","16/26506",0.3125,6.80059523809524,5.09356533159241,0.00058033033350039,0.0414210775535904,0.0381796272039731,"843432/842281/843693/844046/838916",5
"GO:0030275","LRR domain binding","6/1218","25/26506",0.24,5.22285714285714,4.63595818826801,0.000775399805230402,0.0491948098651733,0.0453450178497311,"838896/842862/838895/842863/6241153/833661",6
